Group	Score
2	1683.81614
2	3182.38375
2	65.37667
3	1139.27016
2	2414.57969
3	226.62688
2	3377.92774
2	977.20084
2	1525.31347
3	1670.31451
3	570.75958
3	628.64542
3	468.52981
3	531.31752
3	261.82267
2	269.81118
2	244.73917
2	277.22247
2	1107.57566
3	248.63342
2	162.17143
2	394.8822
3	276.54345
3	169.59678
3	1266.51511
3	1144.58502
3	231.06712
3	201.25023
2	242.04784
3	1401.57816
3	155.89757
2	NA
2	124.7466
2	59.21767
2	404.08154
2	471.09367
2	449.48681
2	80.41238
2	170.38885
2	64.35084
2	430.43032
2	945.59596
2	301.02812
2	597.38411
2	NA
2	740.48921
2	323.70859
2	300.11852
2	393.13508
2	75.27806
2	NA
2	81.87359
2	46.36459
2	582.44998
2	2194.99235
2	86.25977
2	571.03161
2	132.32081
2	61.18563
2	702.69654
2	111.88493
2	722.76979
2	449.85424
2	274.94958
2	1159.16048
2	409.91553
2	35.55077
2	187.94887
2	267.79642
2	112.54018
2	212.67046
2	278.49588
2	228.10802
2	300.84888
2	NA
2	534.9383
2	656.32437
2	709.94137
2	568.66812
2	228.0927
2	407.01054
2	351.82244
2	493.97814
2	402.16437
2	1389.73885
2	2180.96252
2	1954.1522
2	1223.11144
2	590.56631
2	83.97405
2	2427.60332
2	2129.12106
2	194.3007
2	943.91802
2	338.3678
2	516.4081
2	624.56303
2	3424.15318
2	190.03983
2	458.06657
2	2436.28215
2	1181.53682
2	596.92645
2	200.77084
2	382.66609
2	136.93635
2	159.79581
2	497.39785
2	309.07735
2	1665.51467
2	922.16256
2	478.33379
2	166.1094
2	314.15395
2	233.05184
2	142.83191
2	5619.43634
2	243.90647
2	517.58422
2	172.04796
2	428.08113
2	1683.81614
2	488.67061
2	404.72849
2	381.752
2	1278.29469
2	192.5124
2	454.96016
2	824.84846
2	163.80854
2	1116.92866
2	782.51122
2	442.22345
2	153.21243
2	219.4787
2	573.89036
2	234.92048
2	877.42687
2	704.11203
2	678.67965
2	1707.40504
2	625.65567
2	121.39173
2	674.87453
2	1017.0941
2	372.03691
2	399.06152
2	83.7651
2	798.01092
2	420.70932
2	NA
2	352.37026
2	376.90793
2	693.17165
2	121.19606
2	271.01046
2	86.73361
2	706.26212
2	NA
2	303.70018
2	255.88297
2	656.57806
2	294.53847
