Group	Score
1	102.41335
1	290.45176
1	428.06493
1	1145.8102
1	612.32193
1	350.8331
1	249.83252
1	380.2844
1	44.19873
1	1256.79053
1	410.3233
1	465.74317
1	728.14709
1	420.4032
1	47.84014
1	794.29253
1	423.53177
1	229.88083
1	1463.71278
1	144.33677
1	352.73861
1	232.04288
1	678.09139
1	524.24959
1	37.11332
1	75.89871
1	143.68223
1	53.89463
1	889.25401
1	599.97358
1	165.24061
1	641.29947
1	369.30958
1	99.49544
1	NA
1	291.76481
1	344.11814
1	1021.46425
1	2044.79029
1	150.66816
1	355.61476
1	272.37811
1	221.71136
1	50.51905
1	NA
1	536.27301
1	1520.37763
1	1520.37763
1	951.69674
1	709.99819
1	228.6704
1	238.06811
1	248.94718
1	741.83708
1	NA
1	577.3223
1	1231.31126
1	327.29798
1	258.35463
1	329.11817
1	1158.01485
1	1158.01485
1	NA
1	311.67089
1	200.76947
1	45.98502
1	478.39608
1	478.39608
1	689.73924
1	1001.09645
1	278.43342
1	126.55238
1	243.40067
1	368.51004
1	447.93819
1	245.10644
1	239.53924
1	277.25251
1	168.80509
1	457.03154
1	154.69261
1	266.26991
1	1147.26848
1	140.73821
1	196.01017
1	75.62909
1	45.12061
1	485.0852
1	115.99157
1	NA
1	537.98451
1	44.00096
1	280.94876
1	237.78212
1	1665.51467
1	359.81367
1	615.43782
1	869.9943
1	361.69406
1	287.84594
1	313.31387
1	582.00061
1	3183.953
1	386.54739
1	NA
1	557.43458
1	586.0006
1	384.29929
1	2812.05704
1	1075.14491
1	65.15919
1	71.46077
1	207.29107
1	73.33029
1	341.85827
1	864.20247
1	519.14944
1	502.37206
1	210.77151
1	166.56697
1	755.64621
1	42.96185
1	349.66937
1	806.27368
1	1825.31382
1	3104.91393
1	395.90515
1	137.70672
1	328.13467
1	NA
1	NA
1	33.46285
1	1181.14174
1	134.24969
1	544.97762
1	404.85635
1	589.77717
1	253.49673
1	NA
1	338.01594
1	595.70639
1	199.24887
1	330.05352
1	76.83721
1	377.6354
1	1184.01355
1	51.9921
1	918.44206
1	91.8859
1	592.36901
1	738.85479
1	738.85479
1	117.53307
1	66.06866
1	111.51894
1	147.90965
1	136.51584
1	2352.45414
1	321.00129
1	371.50687
1	134.91658
1	296.20009
1	484.09168
1	192.94054
1	366.64153
1	232.6837
1	965.659
1	5619.43634
1	109.81904
1	51.85678
1	702.62496
1	500.84202
1	243.90647
1	324.35545
1	845.46736
1	845.46736
1	157.9829
1	150.34719
1	987.56807
1	46.17095
1	158.34688
1	406.64478
1	102.30212
1	798.81209
1	276.07114
1	107.12634
1	236.23906
1	139.03394
1	212.67046
1	2899.84178
1	271.14195
1	203.08814
1	145.28229
1	408.37121
1	546.95343
1	376.63667
1	57.26228
1	862.91336
1	614.13601
1	NA
1	390.19687
1	178.82777
1	114.12907
1	316.73402
1	173.63266
1	44.6116
1	597.20248
1	163.52138
1	116.90039
1	213.23375
1	342.84117
1	190.34906
1	1574.87895
1	170.6478
1	49.99974
1	447.82332
1	317.29874
1	227.32905
1	307.73867
1	750.7935
1	750.7935
1	109.67903
1	531.84714
1	239.76428
1	260.86387
1	4222.12393
1	611.38397
1	NA
1	87.89157
1	166.89236
1	107.13241
1	134.73756
1	187.89399
1	356.81682
1	398.83546
1	399.72273
1	406.18656
1	514.35085
1	738.93371
1	NA
1	79.68101
1	693.61788
1	166.35086
1	285.67007
1	285.67007
1	359.00826
1	452.91027
1	165.46101
1	571.96599
1	90.14804
1	223.00768
1	135.73448
1	601.43566
1	155.96718
1	683.04436
1	1386.95445
1	63.12319
1	90.47435
1	NA
1	487.70733
1	143.02475
1	344.36357
1	143.44373
1	110.54441
1	80.84661
1	106.09247
1	117.03749
1	NA
1	182.75407
1	407.01054
1	65.29597
1	131.93275
1	180.93224
1	193.68793
1	139.94663
1	177.72265
1	42.74297
1	47.65075
1	99.35787
1	NA
1	202.66141
1	115.99335
1	449.66756
1	379.80499
1	252.35806
1	1174.12762
1	158.36975
1	96.47871
1	79.08276
1	170.09587
1	293.5898
1	407.64354
1	610.95955
1	803.9632
1	858.6984
1	78.31366
1	364.49886
1	926.77213
1	131.30613
1	40.38876
1	247.16645
1	285.28908
1	131.8873
1	43.65958
1	285.94154
1	332.14694
1	304.00013
1	139.08374
1	139.94937
1	269.66509
1	559.93206
1	70.12753
1	82.2313
1	280.37442
1	62.41395
1	141.86714
1	251.64045
1	54.9801
1	NA
1	806.57652
1	131.46701
1	463.8189
