fc	zscore	Group	GO_category
-1.141901204	-0.130487232159263	Unconserved	Other
0.036036243	-0.430303778378139	Unconserved	Other
-0.249483151	-0.0167446478788832	Unconserved	Other
-0.706611429	-0.0593048036525563	Unconserved	Other
0.594299137	-1.66998355458667	Conserved	Other
-1.060805038	1.38608178902098	Unconserved	Other
0.22015317	-1.66699417451396	Unconserved	Other
0.183572475	-0.0115318684489609	Conserved	Other
-0.113497008	0.996303165931862	Unconserved	Other
0.669300143	0.0078307438931842	Unconserved	Other
0.138405667	0.11970475513423	Unconserved	Other
0.218064796	0.265052010834842	Unconserved	Other
-0.92930324	0.514316863070811	Unconserved	PS/tetrapyrrole_synthesis
-0.109854428	0.0726158084298095	Unconserved	Other
-0.975332895	-0.00429273875816873	Unconserved	Other
0.21876366	-0.448492830143328	Unconserved	Other
0.21876366	-0.448492830143328	Unconserved	Other
-1.025859712	0.0292616192858086	Unconserved	Other
1.053281461	-0.397048686329298	Unconserved	Other
-2.30886715	0.689779639018134	Unconserved	Other
3.043703894	-1.88993714764799	Unconserved	Other
-1.247895355	-1.75319700269657	Unconserved	Other
-2.238351949	-0.649402704264648	Unconserved	Other
0.033096811	0.340343658113001	Unconserved	Other
-0.512801457	0.591097861856605	Unconserved	Other
0.237908785	0.0358088752506005	Unconserved	Other
0.001192198	-0.503800661659283	Unconserved	Other
0.775036878	-0.135878363384767	Unconserved	Other
-0.347410246	-0.316544801908339	Unconserved	Other
-5.520304208	1.13089476908426	Unconserved	Other
-1.698820256	0.145581005030288	Conserved	Other
-1.218389474	-0.914787417099717	Unconserved	Other
-0.378461963	-0.125703968034502	Unconserved	Other
0.138882453	-0.495534210823275	Unconserved	Other
-1.893841379	0.89027096543551	Unconserved	Other
-1.352817217	0.451424411856972	Unconserved	Other
-0.029849628	0.224200428448787	Unconserved	Other
2.72411927	-0.162433836209632	Unconserved	Other
-0.595874775	-0.962848460593217	Unconserved	Other
-0.805765001	1.1892685142634	Unconserved	Other
0.183572475	1.25459963788352	Unconserved	Other
-1.019213274	1.25459963788352	Unconserved	Other
1.097582891	-0.656859678589784	Conserved	Other
-1.548848419	1.86938606606889	Unconserved	Other
0.166597732	-1.4823741433652	Unconserved	Other
-1.505173273	0.161561426263008	Unconserved	Other
-0.601429074	0.896762029301577	Unconserved	Other
0.349036518	-0.918801036974974	Unconserved	Other
-3.247964103	2.37291060905724	Conserved	PS/tetrapyrrole_synthesis
-3.36410303	1.24749030238018	Unconserved	Other
1.143711311	-1.78470653393462	Unconserved	Other
-0.046413663	-0.436682448601708	Unconserved	Other
0.089050665	0.69082285248666	Unconserved	Other
-1.356845571	0.625535137017623	Unconserved	Other
-0.830891719	0.343340944590606	Unconserved	Other
-0.473565462	-0.795350482951363	Unconserved	Other
0.031596754	0.402162413478367	Unconserved	Other
0.285774567	-0.0851644622869352	Unconserved	Other
-0.555448103	1.16729781989538	Unconserved	Other
-0.778201782	-1.24331896786307	Unconserved	Other
-0.655491571	1.13435975852998	Unconserved	PS/tetrapyrrole_synthesis
0.258647924	0.594117772495292	Unconserved	Other
-0.181867999	-0.47830307980333	Unconserved	Other
0.717510439	-0.293290537050219	Unconserved	Other
-0.017689744	-0.147552890598138	Unconserved	Other
-1.136240628	2.18699962741998	Conserved	Other
-0.529732069	0.813223418273175	Unconserved	Other
